id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
172	345	363	810;811	688					P23246	P23246	1	1	1	100 kDa DNA-pairing protein;DNA-binding p52/p100 complex, 100 kDa subunit;Polypyrimidine tract-binding protein-associated-splicing factor;Splicing factor, proline- and glutamine-rich	PSF;SFPQ	>P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	76.149	707	1	1	1.3744E-05	2	2	481060	120750	360320	13363	3354	10009	0	360320	0	1			
173	1569	1620	3667	3131					P23284	P23284	1	1	1	Cyclophilin B;CYP-S1;Peptidyl-prolyl cis-trans isomerase B;Rotamase B;S-cyclophilin	CYPB;PPIB	>P23284|PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B |Homo sapiens	1	1	1	1	0	1	0	1	0	1	4.2	4.2	4.2	23.742	216		1	0.010463	0	4.2	207010	0	207010	12938	0	12938	0	207010	0	1			
174	298;776	312;808	703;704;1823;1824	601;1562;1563		1372;1373		220;221	P23396	P23396	2	2	2	40S ribosomal protein S3	OK/SW-cl.26;RPS3	>P23396|RS3_HUMAN 40S ribosomal protein S3 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	16	16	16	26.688	243	2	2	1.1403E-24	16	16	343900	59941	283960	18100	3154.8	14945	0	283960	0	1			
175	611	636	1438;1439	1229		256		18	P23497	P23497	1	1	1	Lysp100b;Nuclear autoantigen Sp-100;Nuclear dot-associated Sp100 protein;Speckled 100 kDa	SP100	>P23497|SP100_HUMAN Nuclear autoantigen Sp-100 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	100.42	879	1	1	0.047172	2.7	2.7	0	0	0	0	0	0	0	0	0	0	+		
176	152;153	159;160	366;367;368;369;370;371;372	309;310;311;312;313;314;315;316	16	257	18	3	P23528	P23528	2	2	2	18 kDa phosphoprotein;Cofilin, non-muscle isoform;Cofilin-1	CFL;CFL1	>P23528|COF1_HUMAN Cofilin-1 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	10.8	10.8	10.8	18.502	166	1	6	1.5121E-282	7.2	10.8	0	0	0	0	0	0	0	0	0	0			
177	322;1309;1452;1653	339;1356;1500;1708	761;762;3077;3078;3079;3080;3403;3404;3838;3839	644;2648;2649;2650;2927;2928;3281		258;259;260;1374		406;420;422;507	P23588	P23588	4	4	4	Eukaryotic translation initiation factor 4B	EIF4B	>P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B |Homo sapiens	1	4	4	4	4	4	4	4	4	4	10.8	10.8	10.8	69.15	611	5	5	5.1419E-22	10.8	10.8	685100	112650	572450	19031	3129.2	15901	0	572450	0	1			
178	327	344	771;772	653		261		250	P25788	P25788	1	1	1	Macropain subunit C8;Multicatalytic endopeptidase complex subunit C8;Proteasome component C8;Proteasome subunit alpha type-3	HC8;PSC8;PSMA3	>P25788|PSA3_HUMAN Proteasome subunit alpha type-3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	28.433	255	1	1	1.0224E-49	5.5	5.5	0	0	0	0	0	0	0	0	0	0			
179	396	414	925	778		262;1375		56;57	P26038	P26038	1	1	1	Membrane-organizing extension spike protein;Moesin	MSN	>P26038|MOES_HUMAN Moesin |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.9	1.9	1.9	67.819	577		1	0.081929	0	1.9	0	0	0	0	0	0	0	0	0	0	+		
180	1344	1391	3164;3165;3166	2718;2719		263;1376		654;657	P26232;P35221	P26232;P35221	1;1	1;1	1;1	Alpha N-catenin;Alpha-catenin-related protein;Catenin alpha-2;Alpha E-catenin;Cadherin-associated protein;Catenin alpha-1;Renal carcinoma antigen NY-REN-13	CAPR;CTNNA2;CTNNA1	>P26232|CTNA2_HUMAN Catenin alpha-2 |Homo sapiens;>P35221|CTNA1_HUMAN Catenin alpha-1 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	2	2	2	105.31	953	1	2	0.0082248	2	2	0	0	0	0	0	0	0	0	0	0			
181	1267	1314	2981;2982	2573		264		143	P26358	P26358	1	1	1	CXXC-type zinc finger protein 9;DNA (cytosine-5)-methyltransferase 1;DNA methyltransferase HsaI;MCMT	AIM;CXXC9;DNMT;DNMT1	>P26358|DNMT1_HUMAN DNA (cytosine-5)-methyltransferase 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1	1	1	183.16	1616	1	1	0.025014	1	1	0	0	0	0	0	0	0	0	0	0			
182	382	400	892;893	742		265		79	P26368	P26368	1	1	1	Splicing factor U2AF 65 kDa subunit;U2 auxiliary factor 65 kDa subunit;U2 snRNP auxiliary factor large subunit	U2AF2;U2AF65	>P26368|U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	53.5	475	1	1	0.045735	2.9	2.9	0	0	0	0	0	0	0	0	0	0	+		
183	764	796	1800	1539					P26583	P26583	1	1	1	High mobility group protein 2;High mobility group protein B2	HMG2;HMGB2	>P26583|HMGB2_HUMAN High mobility group protein B2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	12.9	12.9	12.9	24.033	209		1	0.0097397	0	12.9	226080	0	226080	20552	0	20552	0	226080	0	1			
184	347	365	814;815	690		266		77	P27540	P27540	1	1	1	Aryl hydrocarbon receptor nuclear translocator;Class E basic helix-loop-helix protein 2;Dioxin receptor, nuclear translocator;Hypoxia-inducible factor 1-beta	ARNT;BHLHE2	>P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.9	1.9	1.9	86.636	789	1	1	0.012496	1.9	1.9	0	0	0	0	0	0	0	0	0	0			
185	243;712;1277;1278;1447;1564;1566	254;255;744;1324;1325;1495;1615;1617	591;592;593;594;595;596;1681;1682;3007;3008;3009;3010;3011;3012;3013;3394;3654;3655;3660;3661	508;509;510;1448;2596;2597;2598;2599;2921;3122;3125	17	267;268;269	278	280;941;1073	P27816	P27816	7	7	7	Microtubule-associated protein 4	MAP4	>P27816|MAP4_HUMAN Microtubule-associated protein 4 |Homo sapiens	1	7	7	7	6	7	6	7	6	7	6	6	6	121	1152	9	11	9.7774E-96	5.4	6	0	0	0	0	0	0	0	0	0	0			
186	36	37	85;86;87	65;66;67;68;69		270		583	P27824	P27824	1	1	1	Calnexin;IP90;Major histocompatibility complex class I antigen-binding protein p88;p90	CANX	>P27824|CALX_HUMAN Calnexin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	67.567	592	1	2	0.0056119	2	2	0	0	0	0	0	0	0	0	0	0			
187	1041	1084	2462	2107		1377		55	P28066	P28066	1	1	1	Macropain zeta chain;Multicatalytic endopeptidase complex zeta chain;Proteasome subunit alpha type-5;Proteasome zeta chain	PSMA5	>P28066|PSA5_HUMAN Proteasome subunit alpha type-5 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	5.8	5.8	5.8	26.411	241		1	0.060619	0	5.8	0	0	0	0	0	0	0	0	0	0	+		
188	880;1307;1487;1635	920;1354;1536;1690	2074;2075;3074;3075;3474;3475;3804;3805	1766;2644;2645;2646;2981;3251		271;272;273;274		92;466;737;759	P28290	P28290	4	4	4	Cleavage signal-1 protein;Ki-ras-induced actin-interacting protein;Sperm-specific antigen 2	CS1;KIAA1927;KRAP;SSFA2	>P28290|SSFA2_HUMAN Sperm-specific antigen 2 |Homo sapiens	1	4	4	4	4	4	4	4	4	4	6.4	6.4	6.4	138.38	1259	4	4	2.5527E-21	6.4	6.4	0	0	0	0	0	0	0	0	0	0			
189	608;867	632;907	1431;1432;2048	1225;1744		275;276		341;384	P28715	P28715	2	2	2	DNA excision repair protein ERCC-5;DNA repair protein complementing XP-G cells;Xeroderma pigmentosum group G-complementing protein	ERCC5;ERCM2;XPG;XPGC	>P28715|ERCC5_HUMAN DNA repair protein complementing XP-G cells |Homo sapiens	1	2	2	2	1	2	1	2	1	2	2.4	2.4	2.4	133.11	1186	1	2	1.1184E-10	1.3	2.4	0	0	0	0	0	0	0	0	0	0			
190	187;706;713	196;738;745	460;461;1672;1673;1683;1684	394;1440;1441;1449		277;278;279		403;480;527	P29590	P29590	3	3	3	Probable transcription factor PML;RING finger protein 71;Tripartite motif-containing protein 19	MYL;PML;RNF71;TRIM19	>P29590|PML_HUMAN Protein PML |Homo sapiens	1	3	3	3	3	3	3	3	3	3	5.3	5.3	5.3	97.55	882	3	3	5.005E-08	5.3	5.3	0	0	0	0	0	0	0	0	0	0			
191	173;621	182;647	426;427;428;429;430;1462;1463	364;365;366;367;368;1245		280;281;282		118;119;133	P29692	P29692	2	2	2	Antigen NY-CO-4;Elongation factor 1-delta	EEF1D;EF1D	>P29692|EF1D_HUMAN Elongation factor 1-delta |Homo sapiens	1	2	2	2	2	2	2	2	2	2	8.9	8.9	8.9	31.121	281	4	3	6.7128E-31	8.9	8.9	0	0	0	0	0	0	0	0	0	0			
192	33;34;35;385;1184	34;35;36;403;1230	75;76;77;78;79;80;81;82;83;84;898;899;2771;2772	57;58;59;60;61;62;63;64;746;2355		283;284;285;286		26;27;147;167	P29966	P29966	5	5	5	Myristoylated alanine-rich C-kinase substrate;Protein kinase C substrate, 80 kDa protein, light chain	MACS;MARCKS;PRKCSL	>P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate |Homo sapiens	1	5	5	5	5	5	5	5	5	5	17.2	17.2	17.2	31.554	332	7	7	5.5381E-54	17.2	17.2	0	0	0	0	0	0	0	0	0	0			
193	572	593	1334;1335	1118;1119		287		38	P30050	P30050	1	1	1	60S ribosomal protein L12	RPL12	>P30050|RL12_HUMAN 60S ribosomal protein L12 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	17.818	165	1	1	0.019465	5.5	5.5	0	0	0	0	0	0	0	0	0	0			
194	1519	1568	3553;3554	3043		288		375	P30411	P30411	1	1	1	B2 bradykinin receptor	BDKRB2;BKR2	>P30411|BKRB2_HUMAN B2 bradykinin receptor |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.8	1.8	1.8	44.46	391	1	1	0.023022	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
195	754	786	1781;1782	1526		289		348	P30622;Q9UDT6	P30622;Q9UDT6	1;1	1;1	1;1	CAP-Gly domain-containing linker protein 1;Cytoplasmic linker protein 1;Cytoplasmic linker protein 170 alpha-2;Reed-Sternberg intermediate filament-associated protein;Restin;CAP-Gly domain-containing linker protein 2;Cytoplasmic linker protein 115;Cytoplasmic linker protein 2;Williams-Beuren syndrome chromosomal region 3 protein;Williams-Beuren syndrome chromosomal region 4 protein	CLIP1;CYLN1;RSN;CLIP2;CYLN2;KIAA0291;WBSCR3;WBSCR4;WSCR4	>P30622|CLIP1_HUMAN CAP-Gly domain-containing linker protein 1 |Homo sapiens;>Q9UDT6|CLIP2_HUMAN CAP-Gly domain-containing linker protein 2 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	1	1	1	162.24	1438	1	1	3.6931E-09	1	1	0	0	0	0	0	0	0	0	0	0			
196	517;1385	537;1433	1193;1194;1195;3260	995;996;997;998;2793		290;1378		100;104	P31943;P55795	P31943;P55795	2;2	2;2	2;2	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed;FTP-3;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H2	HNRNPH1;HNRPH;HNRPH1;FTP3;HNRNPH2;HNRPH2	>P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H |Homo sapiens;>P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 |Homo sapiens	2	2	2	2	1	2	1	2	1	2	7.3	7.3	7.3	49.229	449	1	3	1.2766E-20	3.6	7.3	758720	0	758720	29181	0	29181	0	758720	0	1			
197	248;877	261;917	604;605;2069	524;525;526;527;1761		291		47	P31946	P31946	2	1	1	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed;Protein 1054;Protein kinase C inhibitor protein 1	YWHAB	>P31946|1433B_HUMAN 14-3-3 protein beta/alpha |Homo sapiens	1	2	1	1	0	2	0	1	0	1	12.2	8.9	8.9	28.082	246		2	3.4369E-28	0	12.2	2779000	0	2779000	163470	0	163470	0	2779000	0	4			
198	244;877	256;917	597;598;2069	511;512;513;1761		291		45	P31947	P31947	2	1	1	14-3-3 protein sigma;Epithelial cell marker protein 1;Stratifin	HME1;SFN	>P31947|1433S_HUMAN 14-3-3 protein sigma |Homo sapiens	1	2	1	1	0	2	0	1	0	1	12.9	9.7	9.7	27.774	248		2	1.5135E-10	0	12.9	6704800	0	6704800	372490	0	372490	0	6704800	0	3			
199	970	1013	2303	1974		292		524	P33240	P33240	1	1	1	CF-1 64 kDa subunit;Cleavage stimulation factor 64 kDa subunit;Cleavage stimulation factor subunit 2	CSTF2	>P33240|CSTF2_HUMAN Cleavage stimulation factor subunit 2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	6.6	6.6	6.6	60.959	577		1	2.221E-06	0	6.6	0	0	0	0	0	0	0	0	0	0			
200	930	972	2180;2181	1844;1845		293		252	P33241	P33241	1	1	1	47 kDa actin-binding protein;52 kDa phosphoprotein;Lymphocyte-specific antigen WP34;Lymphocyte-specific protein 1	LSP1;WP34	>P33241|LSP1_HUMAN Lymphocyte-specific protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	37.191	339	1	1	0.0042675	4.4	4.4	0	0	0	0	0	0	0	0	0	0			
201	493	513	1133	940;941		294		930	P33527	P33527	1	1	1	ATP-binding cassette sub-family C member 1;Leukotriene C(4) transporter;Multidrug resistance-associated protein 1	ABCC1;MRP;MRP1	>P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.7	0.7	0.7	171.59	1531		1	0.029497	0	0.7	0	0	0	0	0	0	0	0	0	0			
202	1218	1265	2859;2860	2451		295		105	P33991	P33991	1	1	1	CDC21 homolog;DNA replication licensing factor MCM4;P1-CDC21	CDC21;MCM4	>P33991|MCM4_HUMAN DNA replication licensing factor MCM4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1	1	1	96.557	863	1	1	0.081857	1	1	0	0	0	0	0	0	0	0	0	0	+		
203	480;1124;1520	499;1170;1569	1105;2640;2641;2642;2643;2644;3555;3556	922;2237;2238;2239;2240;3044	18	296;297;1379	189	191;551;552	P35222	P35222	3	3	3	Beta-catenin;Catenin beta-1	CTNNB;CTNNB1;OK/SW-cl.35;PRO2286	>P35222|CTNB1_HUMAN Catenin beta-1 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	4	4	4	85.496	781	4	4	3.2111E-40	2	4	0	0	0	0	0	0	0	0	0	0			
204	67;1659	68;1714	151;152;3851;3852	121;3291;3292;3293;3294;3295					P35268	P35268	2	2	2	60S ribosomal protein L22;EBER-associated protein;Epstein-Barr virus small RNA-associated protein;Heparin-binding protein HBp15	RPL22	>P35268|RL22_HUMAN 60S ribosomal protein L22 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	21.9	21.9	21.9	14.787	128	2	2	6.8696E-92	21.9	21.9	7618700	890390	6728300	1269800	148400	1121400	1121100	8253700	2	4			
205	380;526;731	398;546;763	884;885;886;887;1216;1217;1726;1727	738;739;1015;1480;1481		298		1943	P35579	P35579	3	3	3	Cellular myosin heavy chain, type A;Myosin heavy chain 9;Myosin heavy chain, non-muscle IIa;Myosin-9;Non-muscle myosin heavy chain A;Non-muscle myosin heavy chain IIa	MYH9	>P35579|MYH9_HUMAN Myosin-9 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	2.3	2.3	2.3	226.53	1960	4	4	4.0499E-29	2.3	2.3	1150900	419070	731850	8921.9	3248.6	5673.2	0	731850	1	0			
206	1381	1429	3253;3254	2789		299		859	P35606	P35606	1	1	1	Beta-coat protein;Coatomer subunit beta;p102	COPB2	>P35606|COPB2_HUMAN Coatomer subunit beta |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.2	3.2	3.2	102.49	906	1	1	0.052477	3.2	3.2	0	0	0	0	0	0	0	0	0	0	+		
207	22;1646	23;1701	54;3825;3826	44;3270		300;301		12;465	P35611	P35611	2	2	2	Alpha-adducin;Erythrocyte adducin subunit alpha	ADD1;ADDA	>P35611|ADDA_HUMAN Alpha-adducin |Homo sapiens	1	2	2	2	1	2	1	2	1	2	5.2	5.2	5.2	80.954	737	1	2	0.0002171	2.8	5.2	0	0	0	0	0	0	0	0	0	0			
208	614;615	640;641	1449;1450;1451;1452	1237;1238		1380		396	P36507	P36507	2	2	2	Dual specificity mitogen-activated protein kinase kinase 2;ERK activator kinase 2;MAPK/ERK kinase 2	MAP2K2;MEK2;MKK2;PRKMK2	>P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	3	3	3	44.424	400	2	2	0.0019847	3	3	0	0	0	0	0	0	0	0	0	0			
209	598	621	1407;1408	1192		302		295	P36578	P36578	1	1	1	60S ribosomal protein L1;60S ribosomal protein L4	RPL1;RPL4	>P36578|RL4_HUMAN 60S ribosomal protein L4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	47.697	427	1	1	0.015299	2.1	2.1	0	0	0	0	0	0	0	0	0	0			
210	84	88	202;203	153		1381		115	P36871	P36871	1	1	1	Glucose phosphomutase 1;Phosphoglucomutase-1	PGM1	>P36871|PGM1_HUMAN Phosphoglucomutase-1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.1	4.1	4.1	61.448	562	1	1	9.8919E-31	4.1	4.1	0	0	0	0	0	0	0	0	0	0			
211	88;262;269;270;420;1558	92;275;282;283;438;1609	210;211;630;631;643;644;645;646;647;648;649;982;983;3643	157;158;544;555;556;557;558;559;560;817;818;819;820;821;822;823;824;825;826;827;828;829;830;831;832;3113		303;304;305;306;307		88;208;328;329;352	P38159	P38159	6	6	4	Glycoprotein p43;Heterogeneous nuclear ribonucleoprotein G;Heterogeneous nuclear ribonucleoprotein G, N-terminally processed;RNA-binding motif protein, X chromosome	HNRPG;RBMX;RBMXP1	>P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome |Homo sapiens	1	6	6	4	5	6	5	6	3	4	13.6	13.6	10	42.331	391	6	8	6.2761E-59	13.6	13.6	0	0	0	0	0	0	0	0	0	0			
212	116	122;123	277;278;279;280	215;216;217	19;20		370;389		P38646	P38646	1	1	1	75 kDa glucose-regulated protein;Heat shock 70 kDa protein 9;Mortalin;Peptide-binding protein 74;Stress-70 protein, mitochondrial	GRP75;HSPA9;HSPA9B	>P38646|GRP75_HUMAN Stress-70 protein, mitochondrial |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.4	3.4	3.4	73.68	679	2	2	0.00025141	3.4	3.4	1581700	491890	1089800	36783	11439	25344	0	1089800	2	1			
213	921	963	2164	1829					P39019	P39019	1	1	1	40S ribosomal protein S19	RPS19	>P39019|RS19_HUMAN 40S ribosomal protein S19 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	10.3	10.3	10.3	16.06	145		1	4.1036E-06	0	10.3	879190	0	879190	73266	0	73266	0	879190	0	1			
214	1226	1273	2876;2877	2462		308		312	P40123	P40123	1	1	1	Adenylyl cyclase-associated protein 2	CAP2	>P40123|CAP2_HUMAN Adenylyl cyclase-associated protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	52.823	477	1	1	0.054222	2.1	2.1	0	0	0	0	0	0	0	0	0	0	+		
215	1031	1074	2441;2442	2092		309		213	P41212	P41212	1	1	1	ETS translocation variant 6;ETS-related protein Tel1;Transcription factor ETV6	ETV6;TEL;TEL1	>P41212|ETV6_HUMAN Transcription factor ETV6 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	52.999	452	1	1	0.072305	1.5	1.5	0	0	0	0	0	0	0	0	0	0	+		
216	434;1220;1374	452;1267;1422	1008;1009;2863;2864;3238;3239	850;851;852;2453;2778		310;311;312;313		79;158;159;351	P42166	P42166	3	1	1	Lamina-associated polypeptide 2, isoform alpha;Splenin;Thymopentin;Thymopoietin;Thymopoietin isoform alpha;Thymopoietin-related peptide isoform alpha;TP5	LAP2;TMPO	>P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha |Homo sapiens	1	3	1	1	3	3	1	1	1	1	7.8	1.7	1.7	75.491	694	1	1	3.3229E-07	7.8	7.8	0	0	0	0	0	0	0	0	0	0			
217	111;434;1126;1374	115;452;1172;1422	258;259;1008;1009;2647;3238;3239	202;850;851;852;2242;2778		310;312;313		79;158;159	P42167	P42167	4	4	2	Lamina-associated polypeptide 2, isoforms beta/gamma;Splenin;Thymopentin;Thymopoietin;Thymopoietin, isoforms beta/gamma;Thymopoietin-related peptide isoforms beta/gamma;TP5	LAP2;TMPO	>P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma |Homo sapiens	1	4	4	2	4	3	4	3	2	1	16.3	16.3	7	50.67	454	4	3	1.2948E-06	16.3	11	268860	268860	0	10755	10755	0	799120	0	1	0			
218	410	428	956;957	795		314		206	P42575	P42575	1	1	1	Caspase-2;Caspase-2 subunit p12;Caspase-2 subunit p13;Caspase-2 subunit p18;Neural precursor cell expressed developmentally down-regulated protein 2;Protease ICH-1	CASP2;ICH1;NEDD2	>P42575|CASP2_HUMAN Caspase-2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	50.685	452	1	1	0.037368	4.4	4.4	0	0	0	0	0	0	0	0	0	0			
219	229	239	567	488		315		11	P42677	P42677	1	1	1	40S ribosomal protein S27;Metallopan-stimulin 1	MPS1;RPS27	>P42677|RS27_HUMAN 40S ribosomal protein S27 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	15.5	15.5	15.5	9.461	84		1	0.064238	0	15.5	0	0	0	0	0	0	0	0	0	0	+		
220	795	828	1881;1882	1618		316		14	P42696	P42696	1	1	1	RNA-binding motif protein 34;RNA-binding protein 34	KIAA0117;RBM34	>P42696|RBM34_HUMAN RNA-binding protein 34 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	48.564	430	1	1	2.3185E-22	3.5	3.5	0	0	0	0	0	0	0	0	0	0			
221	991;1418;1419	1034;1466;1467	2340;2341;2342;2343;3326;3327;3328;3329;3330;3331;3332;3333	2003;2004;2005;2006;2007;2008;2835;2836;2837;2838;2839;2840;2841;2842		317;318		195;598	P43243	P43243	3	3	3	Matrin-3	KIAA0723;MATR3	>P43243|MATR3_HUMAN Matrin-3 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	4.3	4.3	4.3	94.622	847	6	6	1.3063E-43	4.3	4.3	0	0	0	0	0	0	0	0	0	0			
222	1556	1606;1607	3638;3639;3640;3641	3109;3110;3111	21	319	243	268	P43307	P43307	1	1	1	Signal sequence receptor subunit alpha;Translocon-associated protein subunit alpha	PSEC0262;SSR1;TRAPA	>P43307|SSRA_HUMAN Translocon-associated protein subunit alpha |Homo sapiens	1	1	1	1	1	1	1	1	1	1	10.5	10.5	10.5	32.235	286	1	3	4.5766E-11	10.5	10.5	0	0	0	0	0	0	0	0	0	0			
223	351	369	823;824	697					P43897	P43897	1	1	1	Elongation factor Ts, mitochondrial	TSFM	>P43897|EFTS_HUMAN Elongation factor Ts, mitochondrial |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4	4	4	35.39	325	1	1	1.0452E-05	4	4	183620	18784	164830	9180.8	939.22	8241.6	0	164830	0	1			
224	681	712	1616;1617;1618;1619	1392;1393		320		115	P45880	P45880	1	1	1	Outer mitochondrial membrane protein porin 2;Voltage-dependent anion-selective channel protein 2	VDAC2	>P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	31.566	294	2	2	0.002073	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
225	137;524;1497	144;544;1546	336;1213;1214;3495;3496	281;1013;2998		321;322;323		352;584;1131	P46013	P46013	3	3	3	Antigen KI-67	MKI67	>P46013|KI67_HUMAN Antigen KI-67 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	1.5	1.5	1.5	358.69	3256	2	3	1.08E-15	1	1.5	0	0	0	0	0	0	0	0	0	0			
226	470;1182	489;1228	1086;1087;2768	906;2351		324;1382;1583		264;266;739	P46087	P46087	2	2	2	Nucleolar protein 1;Nucleolar protein 2 homolog;Proliferating-cell nucleolar antigen p120;Proliferation-associated nucleolar protein p120;Putative ribosomal RNA methyltransferase NOP2	NOL1;NOP2	>P46087|NOP2_HUMAN Putative ribosomal RNA methyltransferase NOP2 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	3.7	3.7	3.7	89.301	812	1	2	2.9076E-09	2.7	3.7	0	0	0	0	0	0	0	0	0	0			
227	682;761;1080	713;793;1124	1620;1621;1795;1796;2549;2550	1394;1535;2170		325;326;327		598;677;1061	P46100	P46100	3	3	3	ATP-dependent helicase ATRX;Transcriptional regulator ATRX;X-linked helicase II;X-linked nuclear protein;Znf-HX	ATRX;RAD54L;XH2	>P46100|ATRX_HUMAN Transcriptional regulator ATRX |Homo sapiens	1	3	3	3	3	3	3	3	3	3	2.4	2.4	2.4	282.58	2492	3	3	3.53E-05	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
228	906	947	2129	1800					P46109	P46109	1	1	1	Crk-like protein	CRKL	>P46109|CRKL_HUMAN Crk-like protein |Homo sapiens	1	1	1	1	0	1	0	1	0	1	15.8	15.8	15.8	33.777	303		1	0.035867	0	15.8	0	0	0	0	0	0	0	0	0	0			
229	442;737	460;769	1023;1024;1743;1744	863;1496;1497;1498					P46781	P46781	2	2	2	40S ribosomal protein S9	RPS9	>P46781|RS9_HUMAN 40S ribosomal protein S9 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	7.7	7.7	7.7	22.591	194	2	2	7.7174E-118	7.7	7.7	19104000	2684300	16420000	1364600	191730	1172900	5982800	18416000	1	3			
